url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_afa5b6b42ae99b0b903988a175af3cac
주제,통검
범위,합계
Duration,주간 : 2020-02 ~ 2020-12
성별,"전체(여성,남성)"
연령대,전체
Date,Sore throat
2020-02-03,0.96306
2020-02-10,0.61974
2020-02-17,0.92314
2020-02-24,1.37782
2020-03-02,0.86084
2020-03-09,0.78454
2020-03-16,100.0
2020-03-23,1.22896
2020-03-30,0.80249
2020-04-06,0.57013
2020-04-13,0.45474
2020-04-20,0.42383
2020-04-27,0.37574
2020-05-04,0.38239
2020-05-11,0.5345
2020-05-18,0.53062
2020-05-25,0.74171
2020-06-01,0.64282
2020-06-08,0.49736
2020-06-15,0.48052
2020-06-22,0.465
2020-06-29,0.42868
2020-07-06,0.44338
2020-07-13,0.43651
2020-07-20,0.42598
2020-07-27,0.38225
2020-08-03,0.32577
2020-08-10,0.3747
2020-08-17,0.57574
2020-08-24,0.63984
2020-08-31,0.53534
2020-09-07,0.43354
2020-09-14,0.42605
2020-09-21,0.39992
2020-09-28,0.33922
2020-10-05,0.39092
2020-10-12,0.35918
2020-10-19,0.37664
2020-10-26,0.47172
2020-11-02,0.46936
2020-11-09,0.5097
2020-11-16,0.55557
2020-11-23,0.55911
2020-11-30,0.54504
2020-12-07,0.55925
2020-12-14,0.52127
2020-12-21,0.46652